unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume USD,tradecount
1607842800,2020-12-13 07:00:00,BTC/USD,18987.1,19284.6,18987.1,19255.1,19131.6,707.88525289,13630401.332922237,2248
1607839200,2020-12-13 06:00:00,BTC/USD,18869.2,18987.1,18869.2,18987.0,18943.8,230.26149876,4371975.07695612,910
1607835600,2020-12-13 05:00:00,BTC/USD,18862.5,18953.9,18859.5,18869.2,18903.1,246.83901175,4657654.6805131,962
1607832000,2020-12-13 04:00:00,BTC/USD,18800.9,18893.0,18781.0,18860.9,18858.0,123.36767841,2326825.445723169,602
1607828400,2020-12-13 03:00:00,BTC/USD,18819.8,18839.6,18779.9,18793.7,18803.3,75.92201186,1426855.514293282,323
1607824800,2020-12-13 02:00:00,BTC/USD,18805.2,18835.1,18770.3,18818.0,18803.8,53.45606027,1005936.14216086,526
1607821200,2020-12-13 01:00:00,BTC/USD,18770.5,18811.7,18729.5,18807.1,18772.6,91.42397796,1719419.895891516,495
1607817600,2020-12-13 00:00:00,BTC/USD,18814.4,18878.3,18712.6,18770.4,18797.5,140.25886757,2632715.0478359284,901
1607814000,2020-12-12 23:00:00,BTC/USD,18880.0,18880.0,18787.6,18806.9,18813.3,146.46342342,2754522.957917598,733
1607810400,2020-12-12 22:00:00,BTC/USD,18800.0,18986.9,18775.5,18880.0,18882.7,327.79362274,6188743.5973312,1685
1607806800,2020-12-12 21:00:00,BTC/USD,18781.3,18842.8,18733.1,18799.9,18789.9,161.90175345,3043736.7746846555,981
1607803200,2020-12-12 20:00:00,BTC/USD,18815.7,18845.0,18760.0,18779.7,18803.9,285.59867049,5363457.352201054,1477
1607799600,2020-12-12 19:00:00,BTC/USD,18704.9,18874.1,18704.9,18815.1,18784.4,542.77609278,10212386.463264978,2122
1607796000,2020-12-12 18:00:00,BTC/USD,18490.4,18784.9,18488.3,18701.6,18686.7,688.84569919,12882516.727971703,2885
1607792400,2020-12-12 17:00:00,BTC/USD,18403.4,18510.0,18389.4,18489.7,18454.9,145.76294905,2695113.1990497853,814
1607788800,2020-12-12 16:00:00,BTC/USD,18404.4,18451.6,18379.6,18404.5,18422.2,90.16423782,1659427.71495819,542
1607785200,2020-12-12 15:00:00,BTC/USD,18372.2,18437.1,18318.1,18399.6,18398.1,70.34740607,1294364.132725572,685
1607781600,2020-12-12 14:00:00,BTC/USD,18402.6,18475.0,18326.0,18377.2,18381.5,123.30358903,2265974.716322116,992
1607778000,2020-12-12 13:00:00,BTC/USD,18438.6,18445.5,18397.7,18402.6,18424.9,93.69888161,1724303.0387161858,593
1607774400,2020-12-12 12:00:00,BTC/USD,18499.0,18527.0,18435.0,18438.6,18484.2,105.55870156,1946354.674584216,698
1607770800,2020-12-12 11:00:00,BTC/USD,18383.1,18499.0,18370.9,18499.0,18458.0,79.55298971,1471650.7566452902,568
1607767200,2020-12-12 10:00:00,BTC/USD,18427.0,18453.6,18371.3,18382.0,18411.6,115.80573481,2128741.01727742,636
1607763600,2020-12-12 09:00:00,BTC/USD,18386.8,18475.0,18358.6,18426.9,18429.3,77.62017322,1430299.169907618,575
1607760000,2020-12-12 08:00:00,BTC/USD,18399.9,18463.6,18335.6,18378.8,18393.2,364.66675081,6702137.279786828,1082
1607756400,2020-12-12 07:00:00,BTC/USD,18311.5,18400.0,18311.5,18394.8,18359.0,155.76858722,2865332.008194456,575
1607752800,2020-12-12 06:00:00,BTC/USD,18331.4,18362.0,18300.0,18311.5,18329.5,96.75314709,1771695.252938535,465
1607749200,2020-12-12 05:00:00,BTC/USD,18380.5,18397.5,18321.7,18331.4,18357.6,114.65270278,2101744.555741292,587
1607745600,2020-12-12 04:00:00,BTC/USD,18281.3,18400.0,18264.9,18380.5,18349.5,118.22392811,2173014.910625855,929
1607742000,2020-12-12 03:00:00,BTC/USD,18318.0,18334.7,18278.4,18281.4,18301.5,120.81267532,2208624.8425950482,893
1607738400,2020-12-12 02:00:00,BTC/USD,18299.1,18350.0,18298.6,18318.3,18321.6,77.15626773,1413371.659158459,671
1607734800,2020-12-12 01:00:00,BTC/USD,18352.8,18374.0,18280.9,18299.1,18323.3,110.77329986,2027051.6914681257,724
1607731200,2020-12-12 00:00:00,BTC/USD,18031.5,18374.9,18024.0,18352.1,18226.5,369.49915324,6781085.410175803,2225
1607727600,2020-12-11 23:00:00,BTC/USD,18127.4,18139.9,18023.5,18031.5,18073.9,122.82221691,2214668.8042126647,1742
1607724000,2020-12-11 22:00:00,BTC/USD,18103.2,18180.6,18081.0,18129.0,18138.8,224.17706466,4064106.00522114,1858
1607720400,2020-12-11 21:00:00,BTC/USD,17974.5,18137.5,17955.5,18103.1,18048.4,159.55213136,2888388.189223216,1298
1607716800,2020-12-11 20:00:00,BTC/USD,17975.5,18051.9,17923.0,17976.3,17958.5,156.81463194,2818946.868143022,1101
